Regex,Frequency,TF-IDF,BM25,Normalized TF-IDF,Normalized BM25
Abasie(s)?,84,0.0005,42.9897,"0,029","0,647"
Achromatopsie(s)? hystérique(s)?,2,0.0,5.2704,"0,002","0,079"
Amaigrissement(s)?,341,0.0008,32.6561,"0,047","0,492"
Amblyopie(s)? hystérique(s)?,22,0.0002,25.0254,"0,014","0,377"
Amyotrophie(s)? Charcot-Marie,59,0.0006,33.2987,"0,035","0,501"
Amyotrophie(s)? protopathique(s)?,0,0,0,"0,000","0,000"
Amyotrophie(s)? symptomatique(s)?,0,0,0,"0,000","0,000"
Analgésie(s)?,324,0.0013,51.4942,"0,076","0,775"
Anatomie(s)? macroscopique(s)?,4,0.0001,11.049,"0,004","0,166"
Anesthésie(s)?,3105,0.0037,30.538,"0,208","0,460"
Anévr[iy]sme(s)?,178,0.001,47.365,"0,058","0,713"
Anévr[iy]sme(s)? de Charcot-Bouchard,0,0,0,"0,000","0,000"
Anévr[iy]sme(s)? de Charcot et Bouchard,0,0,0,"0,000","0,000"
Anévr[iy]sme(s)? de(s)? artère(s)?,5,0.0001,9.4538,"0,003","0,142"
Anévrisme(?:\s+de)?\s+Charcot(?:[-\s]*et[-\s]*|[-\s]*)Bouchard*,0,0,0,"0,000","0,000"
Anévrisme(s)? miliaire(s)?,0,0,0,"0,000","0,000"
Angioneuroses(s)?,0,0,0,"0,000","0,000"
Aphasie(s)?,1000,0.0017,38.259,"0,098","0,576"
Apoplexie(s)? spinale(s)?,0,0,0,"0,000","0,000"
Artère(s)? cérébrale(s)? postérieure(s)?,25,0.0004,26.1042,"0,023","0,393"
Arthrite(s)? déformante(s)?,26,0.0003,31.7075,"0,016","0,477"
Arthropathie(s)? dégénérative(s)? progressive(s)?,0,0,0,"0,000","0,000"
Arthropathie(s)? de Charcot,0,0,0,"0,000","0,000"
Arthropathie(s)? des ataxiques,1,0.0,5.2027,"0,003","0,078"
Arthropathie(s)? tabétique(s)?,117,0.0014,43.7016,"0,077","0,658"
Articulations(s)?,1217,0.0016,30.5226,"0,090","0,460"
Astasie(s)?,83,0.0006,43.7943,"0,035","0,659"
